order_id,carrier,promised_date,delivered_date,days_late
MF-01323,Northwind Freight,2026-08-25,2026-08-24,0
MF-01198,Kessler Logistics,2026-08-23,2026-08-25,2
MF-01249,Harbour Express,2026-08-25,2026-08-25,0
MF-01257,Kessler Logistics,2026-08-25,2026-08-25,0
MF-01258,Northwind Freight,2026-08-25,2026-08-25,0
MF-01259,Kessler Logistics,2026-08-25,2026-08-25,0
MF-01260,Northwind Freight,2026-08-25,2026-08-25,0
MF-01262,Kessler Logistics,2026-08-25,2026-08-25,0
MF-01264,Kessler Logistics,2026-08-25,2026-08-25,0
MF-01270,Harbour Express,2026-08-25,2026-08-25,0
MF-01271,Harbour Express,2026-08-25,2026-08-25,0
MF-01281,Northwind Freight,2026-08-25,2026-08-25,0
MF-01282,Northwind Freight,2026-08-25,2026-08-25,0
MF-01283,Northwind Freight,2026-08-25,2026-08-25,0
MF-01284,Redwood Couriers,2026-08-26,2026-08-25,0
MF-01285,Kessler Logistics,2026-08-25,2026-08-25,0
MF-01288,Kessler Logistics,2026-08-25,2026-08-25,0
MF-01290,Kessler Logistics,2026-08-25,2026-08-25,0
MF-01292,Harbour Express,2026-08-25,2026-08-25,0
MF-01297,Redwood Couriers,2026-08-26,2026-08-25,0
MF-01298,Harbour Express,2026-08-26,2026-08-25,0
MF-01299,Kessler Logistics,2026-08-25,2026-08-25,0
MF-01305,Redwood Couriers,2026-08-26,2026-08-25,0
MF-01306,Redwood Couriers,2026-08-25,2026-08-25,0
MF-01312,Redwood Couriers,2026-08-25,2026-08-25,0
MF-01314,Kessler Logistics,2026-08-25,2026-08-25,0
MF-01315,Harbour Express,2026-08-25,2026-08-25,0
MF-01318,Redwood Couriers,2026-08-25,2026-08-25,0
MF-01256,Kessler Logistics,2026-08-26,2026-08-26,0
MF-01265,Harbour Express,2026-08-26,2026-08-26,0
MF-01267,Kessler Logistics,2026-08-25,2026-08-26,1
MF-01277,Redwood Couriers,2026-08-26,2026-08-26,0
MF-01279,Northwind Freight,2026-08-27,2026-08-26,0
MF-01280,Harbour Express,2026-08-26,2026-08-26,0
MF-01286,Kessler Logistics,2026-08-26,2026-08-26,0
MF-01289,Northwind Freight,2026-08-27,2026-08-26,0
MF-01291,Kessler Logistics,2026-08-26,2026-08-26,0
MF-01293,Harbour Express,2026-08-27,2026-08-26,0
MF-01296,Northwind Freight,2026-08-26,2026-08-26,0
MF-01302,Redwood Couriers,2026-08-27,2026-08-26,0
MF-01307,Kessler Logistics,2026-08-26,2026-08-26,0
MF-01311,Redwood Couriers,2026-08-26,2026-08-26,0
MF-01317,Northwind Freight,2026-08-26,2026-08-26,0
MF-01322,Northwind Freight,2026-08-26,2026-08-26,0
MF-01326,Northwind Freight,2026-08-26,2026-08-26,0
MF-01332,Kessler Logistics,2026-08-26,2026-08-26,0
MF-01333,Kessler Logistics,2026-08-26,2026-08-26,0
MF-01176,Northwind Freight,2026-08-22,2026-08-27,5
MF-01294,Northwind Freight,2026-08-27,2026-08-27,0
MF-01301,Kessler Logistics,2026-08-26,2026-08-27,1
MF-01313,Northwind Freight,2026-08-28,2026-08-27,0
MF-01316,Harbour Express,2026-08-27,2026-08-27,0
MF-01319,Kessler Logistics,2026-08-27,2026-08-27,0
MF-01320,Redwood Couriers,2026-08-28,2026-08-27,0
MF-01321,Harbour Express,2026-08-27,2026-08-27,0
MF-01327,Redwood Couriers,2026-08-27,2026-08-27,0
MF-01365,Northwind Freight,2026-08-28,2026-08-27,0
MF-01368,Kessler Logistics,2026-08-28,2026-08-27,0
MF-01266,Kessler Logistics,2026-08-26,2026-08-28,2
MF-01287,Harbour Express,2026-08-24,2026-08-28,4
MF-01324,Kessler Logistics,2026-08-28,2026-08-28,0
MF-01325,Harbour Express,2026-08-28,2026-08-28,0
MF-01329,Harbour Express,2026-08-28,2026-08-28,0
MF-01331,Northwind Freight,2026-08-28,2026-08-28,0
MF-01336,Harbour Express,2026-08-28,2026-08-28,0
MF-01337,Kessler Logistics,2026-08-28,2026-08-28,0
MF-01338,Kessler Logistics,2026-08-29,2026-08-28,0
MF-01339,Kessler Logistics,2026-08-28,2026-08-28,0
MF-01340,Northwind Freight,2026-08-28,2026-08-28,0
MF-01341,Kessler Logistics,2026-08-29,2026-08-28,0
MF-01347,Northwind Freight,2026-08-28,2026-08-28,0
MF-01349,Kessler Logistics,2026-08-28,2026-08-28,0
MF-01351,Kessler Logistics,2026-08-28,2026-08-28,0
MF-01352,Northwind Freight,2026-08-28,2026-08-28,0
MF-01354,Kessler Logistics,2026-08-28,2026-08-28,0
MF-01355,Northwind Freight,2026-08-28,2026-08-28,0
MF-01360,Harbour Express,2026-08-29,2026-08-28,0
MF-01366,Kessler Logistics,2026-08-28,2026-08-28,0
MF-01406,Redwood Couriers,2026-08-29,2026-08-28,0
MF-01328,Northwind Freight,2026-08-29,2026-08-29,0
MF-01335,Northwind Freight,2026-08-29,2026-08-29,0
MF-01342,Redwood Couriers,2026-08-30,2026-08-29,0
MF-01343,Harbour Express,2026-08-29,2026-08-29,0
MF-01344,Kessler Logistics,2026-08-29,2026-08-29,0
MF-01345,Redwood Couriers,2026-08-29,2026-08-29,0
MF-01346,Redwood Couriers,2026-08-29,2026-08-29,0
MF-01350,Kessler Logistics,2026-08-29,2026-08-29,0
MF-01353,Harbour Express,2026-08-29,2026-08-29,0
MF-01357,Northwind Freight,2026-08-29,2026-08-29,0
MF-01358,Kessler Logistics,2026-08-29,2026-08-29,0
MF-01361,Harbour Express,2026-08-29,2026-08-29,0
MF-01364,Kessler Logistics,2026-08-29,2026-08-29,0
MF-01367,Northwind Freight,2026-08-29,2026-08-29,0
MF-01370,Kessler Logistics,2026-08-30,2026-08-29,0
MF-01371,Northwind Freight,2026-08-29,2026-08-29,0
MF-01373,Northwind Freight,2026-08-30,2026-08-29,0
MF-01374,Harbour Express,2026-08-29,2026-08-29,0
MF-01375,Harbour Express,2026-08-29,2026-08-29,0
MF-01380,Northwind Freight,2026-08-29,2026-08-29,0
MF-01385,Redwood Couriers,2026-08-29,2026-08-29,0
MF-01386,Kessler Logistics,2026-08-30,2026-08-29,0
MF-01396,Redwood Couriers,2026-08-29,2026-08-29,0
MF-01397,Harbour Express,2026-08-30,2026-08-29,0
MF-01401,Harbour Express,2026-08-29,2026-08-29,0
MF-01407,Redwood Couriers,2026-08-29,2026-08-29,0
MF-01427,Redwood Couriers,2026-08-30,2026-08-29,0
MF-01334,Redwood Couriers,2026-08-30,2026-08-30,0
MF-01348,Kessler Logistics,2026-08-30,2026-08-30,0
MF-01356,Redwood Couriers,2026-08-30,2026-08-30,0
MF-01369,Kessler Logistics,2026-08-31,2026-08-30,0
MF-01377,Harbour Express,2026-08-30,2026-08-30,0
MF-01378,Northwind Freight,2026-08-31,2026-08-30,0
MF-01379,Kessler Logistics,2026-08-30,2026-08-30,0
MF-01381,Kessler Logistics,2026-08-31,2026-08-30,0
MF-01383,Redwood Couriers,2026-08-31,2026-08-30,0
MF-01388,Kessler Logistics,2026-08-31,2026-08-30,0
MF-01390,Northwind Freight,2026-08-30,2026-08-30,0
MF-01391,Harbour Express,2026-08-30,2026-08-30,0
MF-01393,Harbour Express,2026-08-30,2026-08-30,0
MF-01394,Kessler Logistics,2026-08-30,2026-08-30,0
MF-01395,Northwind Freight,2026-08-30,2026-08-30,0
MF-01399,Harbour Express,2026-08-31,2026-08-30,0
MF-01404,Kessler Logistics,2026-08-31,2026-08-30,0
MF-01415,Kessler Logistics,2026-08-30,2026-08-30,0
MF-01419,Harbour Express,2026-08-30,2026-08-30,0
MF-01428,Harbour Express,2026-08-30,2026-08-30,0
MF-01362,Redwood Couriers,2026-08-30,2026-08-31,1
MF-01363,Redwood Couriers,2026-08-31,2026-08-31,0
MF-01372,Northwind Freight,2026-08-31,2026-08-31,0
MF-01376,Kessler Logistics,2026-08-31,2026-08-31,0
MF-01382,Northwind Freight,2026-09-01,2026-08-31,0
MF-01384,Harbour Express,2026-08-31,2026-08-31,0
MF-01387,Northwind Freight,2026-08-31,2026-08-31,0
MF-01389,Kessler Logistics,2026-08-30,2026-08-31,1
MF-01392,Kessler Logistics,2026-08-31,2026-08-31,0
MF-01398,Harbour Express,2026-08-31,2026-08-31,0
MF-01400,Kessler Logistics,2026-09-01,2026-08-31,0
MF-01402,Kessler Logistics,2026-08-31,2026-08-31,0
MF-01403,Redwood Couriers,2026-08-31,2026-08-31,0
MF-01408,Redwood Couriers,2026-08-31,2026-08-31,0
MF-01410,Harbour Express,2026-08-31,2026-08-31,0
MF-01411,Harbour Express,2026-08-31,2026-08-31,0
MF-01412,Kessler Logistics,2026-08-31,2026-08-31,0
MF-01413,Northwind Freight,2026-08-31,2026-08-31,0
MF-01414,Redwood Couriers,2026-09-01,2026-08-31,0
MF-01420,Kessler Logistics,2026-09-01,2026-08-31,0
MF-01421,Kessler Logistics,2026-09-01,2026-08-31,0
MF-01422,Northwind Freight,2026-08-31,2026-08-31,0
MF-01424,Northwind Freight,2026-08-31,2026-08-31,0
MF-01425,Northwind Freight,2026-08-31,2026-08-31,0
MF-01426,Harbour Express,2026-08-31,2026-08-31,0
MF-01430,Kessler Logistics,2026-09-01,2026-08-31,0
MF-01436,Northwind Freight,2026-08-31,2026-08-31,0
MF-01441,Kessler Logistics,2026-09-01,2026-08-31,0
MF-01443,Northwind Freight,2026-08-31,2026-08-31,0
MF-01446,Harbour Express,2026-09-01,2026-08-31,0
MF-01449,Redwood Couriers,2026-09-01,2026-08-31,0
MF-01461,Redwood Couriers,2026-09-01,2026-08-31,0
MF-01462,Redwood Couriers,2026-09-01,2026-08-31,0
MF-01468,Kessler Logistics,2026-09-01,2026-08-31,0
MF-01405,Kessler Logistics,2026-09-01,2026-09-01,0
MF-01423,Kessler Logistics,2026-09-02,2026-09-01,0
MF-01429,Kessler Logistics,2026-09-01,2026-09-01,0
MF-01433,Kessler Logistics,2026-08-31,2026-09-01,1
MF-01434,Northwind Freight,2026-09-01,2026-09-01,0
MF-01437,Kessler Logistics,2026-09-01,2026-09-01,0
MF-01438,Northwind Freight,2026-09-02,2026-09-01,0
MF-01439,Kessler Logistics,2026-09-01,2026-09-01,0
MF-01442,Harbour Express,2026-09-01,2026-09-01,0
MF-01445,Kessler Logistics,2026-09-01,2026-09-01,0
MF-01447,Redwood Couriers,2026-09-02,2026-09-01,0
MF-01454,Kessler Logistics,2026-09-01,2026-09-01,0
MF-01455,Northwind Freight,2026-09-01,2026-09-01,0
MF-01456,Northwind Freight,2026-09-01,2026-09-01,0
MF-01458,Northwind Freight,2026-09-01,2026-09-01,0
MF-01463,Redwood Couriers,2026-09-02,2026-09-01,0
MF-01481,Kessler Logistics,2026-09-02,2026-09-01,0
MF-01409,Redwood Couriers,2026-09-02,2026-09-02,0
MF-01416,Kessler Logistics,2026-09-02,2026-09-02,0
MF-01417,Harbour Express,2026-09-02,2026-09-02,0
MF-01431,Northwind Freight,2026-09-02,2026-09-02,0
MF-01432,Northwind Freight,2026-09-02,2026-09-02,0
MF-01435,Kessler Logistics,2026-09-02,2026-09-02,0
MF-01440,Redwood Couriers,2026-09-02,2026-09-02,0
MF-01450,Northwind Freight,2026-09-02,2026-09-02,0
MF-01451,Northwind Freight,2026-09-02,2026-09-02,0
MF-01452,Kessler Logistics,2026-09-03,2026-09-02,0
MF-01459,Harbour Express,2026-09-02,2026-09-02,0
MF-01460,Harbour Express,2026-09-02,2026-09-02,0
MF-01464,Kessler Logistics,2026-09-03,2026-09-02,0
MF-01465,Redwood Couriers,2026-09-03,2026-09-02,0
MF-01471,Northwind Freight,2026-09-03,2026-09-02,0
MF-01479,Kessler Logistics,2026-09-03,2026-09-02,0
MF-01482,Kessler Logistics,2026-09-03,2026-09-02,0
MF-01501,Kessler Logistics,2026-09-03,2026-09-02,0
MF-01444,Northwind Freight,2026-09-03,2026-09-03,0
MF-01448,Northwind Freight,2026-09-02,2026-09-03,1
MF-01457,Harbour Express,2026-09-03,2026-09-03,0
MF-01466,Kessler Logistics,2026-09-03,2026-09-03,0
MF-01469,Northwind Freight,2026-09-03,2026-09-03,0
MF-01470,Kessler Logistics,2026-09-04,2026-09-03,0
MF-01472,Kessler Logistics,2026-09-04,2026-09-03,0
MF-01474,Kessler Logistics,2026-09-03,2026-09-03,0
MF-01476,Kessler Logistics,2026-09-02,2026-09-03,1
MF-01477,Kessler Logistics,2026-09-04,2026-09-03,0
MF-01478,Kessler Logistics,2026-09-03,2026-09-03,0
MF-01486,Kessler Logistics,2026-09-04,2026-09-03,0
MF-01490,Kessler Logistics,2026-09-03,2026-09-03,0
MF-01492,Northwind Freight,2026-09-03,2026-09-03,0
MF-01498,Redwood Couriers,2026-09-04,2026-09-03,0
MF-01509,Kessler Logistics,2026-09-04,2026-09-03,0
MF-01473,Harbour Express,2026-09-05,2026-09-04,0
MF-01475,Kessler Logistics,2026-09-04,2026-09-04,0
MF-01489,Kessler Logistics,2026-09-05,2026-09-04,0
MF-01491,Northwind Freight,2026-09-04,2026-09-04,0
MF-01503,Kessler Logistics,2026-09-04,2026-09-04,0
MF-01508,Harbour Express,2026-09-04,2026-09-04,0
MF-01510,Harbour Express,2026-09-04,2026-09-04,0
MF-01512,Kessler Logistics,2026-09-03,2026-09-04,1
MF-01517,Harbour Express,2026-09-05,2026-09-04,0
MF-01522,Kessler Logistics,2026-09-05,2026-09-04,0
MF-01525,Redwood Couriers,2026-09-05,2026-09-04,0
MF-01538,Harbour Express,2026-09-04,2026-09-04,0
MF-01543,Kessler Logistics,2026-09-05,2026-09-04,0
MF-01418,Northwind Freight,2026-09-01,2026-09-05,4
MF-01467,Kessler Logistics,2026-09-04,2026-09-05,1
MF-01485,Northwind Freight,2026-09-06,2026-09-05,0
MF-01488,Northwind Freight,2026-09-05,2026-09-05,0
MF-01493,Northwind Freight,2026-09-05,2026-09-05,0
MF-01495,Kessler Logistics,2026-09-05,2026-09-05,0
MF-01499,Kessler Logistics,2026-09-06,2026-09-05,0
MF-01500,Kessler Logistics,2026-09-05,2026-09-05,0
MF-01502,Northwind Freight,2026-09-05,2026-09-05,0
MF-01504,Redwood Couriers,2026-09-05,2026-09-05,0
MF-01505,Kessler Logistics,2026-09-04,2026-09-05,1
MF-01507,Kessler Logistics,2026-09-05,2026-09-05,0
MF-01514,Kessler Logistics,2026-09-06,2026-09-05,0
MF-01516,Kessler Logistics,2026-09-05,2026-09-05,0
MF-01523,Harbour Express,2026-09-05,2026-09-05,0
MF-01526,Northwind Freight,2026-09-06,2026-09-05,0
MF-01527,Kessler Logistics,2026-09-06,2026-09-05,0
MF-01530,Northwind Freight,2026-09-06,2026-09-05,0
MF-01531,Harbour Express,2026-09-06,2026-09-05,0
MF-01532,Harbour Express,2026-09-05,2026-09-05,0
MF-01533,Redwood Couriers,2026-09-05,2026-09-05,0
MF-01536,Harbour Express,2026-09-05,2026-09-05,0
MF-01537,Kessler Logistics,2026-09-06,2026-09-05,0
MF-01540,Northwind Freight,2026-09-05,2026-09-05,0
MF-01541,Northwind Freight,2026-09-06,2026-09-05,0
MF-01552,Kessler Logistics,2026-09-06,2026-09-05,0
MF-01553,Kessler Logistics,2026-09-05,2026-09-05,0
MF-01556,Harbour Express,2026-09-05,2026-09-05,0
MF-01559,Northwind Freight,2026-09-06,2026-09-05,0
MF-01564,Northwind Freight,2026-09-05,2026-09-05,0
MF-01487,Harbour Express,2026-09-06,2026-09-06,0
MF-01494,Kessler Logistics,2026-09-06,2026-09-06,0
MF-01496,Kessler Logistics,2026-09-06,2026-09-06,0
MF-01497,Kessler Logistics,2026-09-06,2026-09-06,0
MF-01511,Kessler Logistics,2026-09-06,2026-09-06,0
MF-01518,Northwind Freight,2026-09-07,2026-09-06,0
MF-01519,Northwind Freight,2026-09-06,2026-09-06,0
MF-01528,Northwind Freight,2026-09-06,2026-09-06,0
MF-01535,Kessler Logistics,2026-09-07,2026-09-06,0
MF-01544,Northwind Freight,2026-09-07,2026-09-06,0
MF-01549,Kessler Logistics,2026-09-06,2026-09-06,0
MF-01555,Kessler Logistics,2026-09-06,2026-09-06,0
MF-01562,Kessler Logistics,2026-09-07,2026-09-06,0
MF-01567,Northwind Freight,2026-09-06,2026-09-06,0
MF-01574,Harbour Express,2026-09-07,2026-09-06,0
MF-01576,Redwood Couriers,2026-09-06,2026-09-06,0
MF-01578,Harbour Express,2026-09-07,2026-09-06,0
MF-01580,Harbour Express,2026-09-06,2026-09-06,0
MF-01581,Redwood Couriers,2026-09-06,2026-09-06,0
MF-01584,Kessler Logistics,2026-09-07,2026-09-06,0
MF-01587,Harbour Express,2026-09-06,2026-09-06,0
MF-01484,Kessler Logistics,2026-09-04,2026-09-07,3
MF-01513,Kessler Logistics,2026-09-05,2026-09-07,2
MF-01515,Northwind Freight,2026-09-07,2026-09-07,0
MF-01520,Northwind Freight,2026-09-07,2026-09-07,0
MF-01521,Harbour Express,2026-09-07,2026-09-07,0
MF-01524,Northwind Freight,2026-09-07,2026-09-07,0
MF-01529,Northwind Freight,2026-09-07,2026-09-07,0
MF-01534,Kessler Logistics,2026-09-07,2026-09-07,0
MF-01539,Harbour Express,2026-09-07,2026-09-07,0
MF-01554,Kessler Logistics,2026-09-06,2026-09-07,1
MF-01558,Harbour Express,2026-09-08,2026-09-07,0
MF-01560,Kessler Logistics,2026-09-07,2026-09-07,0
MF-01563,Kessler Logistics,2026-09-07,2026-09-07,0
MF-01565,Kessler Logistics,2026-09-07,2026-09-07,0
MF-01571,Kessler Logistics,2026-09-07,2026-09-07,0
MF-01572,Northwind Freight,2026-09-07,2026-09-07,0
MF-01573,Kessler Logistics,2026-09-08,2026-09-07,0
MF-01582,Kessler Logistics,2026-09-07,2026-09-07,0
MF-01586,Kessler Logistics,2026-09-07,2026-09-07,0
MF-01590,Kessler Logistics,2026-09-07,2026-09-07,0
MF-01592,Kessler Logistics,2026-09-07,2026-09-07,0
MF-01594,Redwood Couriers,2026-09-08,2026-09-07,0
MF-01595,Northwind Freight,2026-09-08,2026-09-07,0
MF-01602,Kessler Logistics,2026-09-08,2026-09-07,0
MF-01611,Northwind Freight,2026-09-07,2026-09-07,0
MF-01480,Kessler Logistics,2026-09-05,2026-09-08,3
MF-01506,Kessler Logistics,2026-09-06,2026-09-08,2
MF-01545,Northwind Freight,2026-09-08,2026-09-08,0
MF-01546,Kessler Logistics,2026-09-08,2026-09-08,0
MF-01547,Kessler Logistics,2026-09-08,2026-09-08,0
MF-01548,Redwood Couriers,2026-09-08,2026-09-08,0
MF-01551,Northwind Freight,2026-09-08,2026-09-08,0
MF-01557,Redwood Couriers,2026-09-08,2026-09-08,0
MF-01561,Northwind Freight,2026-09-08,2026-09-08,0
MF-01566,Harbour Express,2026-09-08,2026-09-08,0
MF-01569,Redwood Couriers,2026-09-08,2026-09-08,0
MF-01575,Harbour Express,2026-09-09,2026-09-08,0
MF-01583,Kessler Logistics,2026-09-08,2026-09-08,0
MF-01585,Kessler Logistics,2026-09-08,2026-09-08,0
MF-01589,Northwind Freight,2026-09-09,2026-09-08,0
MF-01591,Kessler Logistics,2026-09-08,2026-09-08,0
MF-01593,Kessler Logistics,2026-09-08,2026-09-08,0
MF-01598,Kessler Logistics,2026-09-09,2026-09-08,0
MF-01604,Kessler Logistics,2026-09-08,2026-09-08,0
MF-01607,Harbour Express,2026-09-08,2026-09-08,0
MF-01610,Northwind Freight,2026-09-09,2026-09-08,0
MF-01612,Redwood Couriers,2026-09-08,2026-09-08,0
MF-01615,Kessler Logistics,2026-09-09,2026-09-08,0
MF-01616,Northwind Freight,2026-09-08,2026-09-08,0
MF-01619,Northwind Freight,2026-09-08,2026-09-08,0
MF-01622,Northwind Freight,2026-09-09,2026-09-08,0
MF-01634,Redwood Couriers,2026-09-09,2026-09-08,0
MF-01542,Harbour Express,2026-09-07,2026-09-09,2
MF-01550,Northwind Freight,2026-09-06,2026-09-09,3
MF-01568,Kessler Logistics,2026-09-07,2026-09-09,2
MF-01570,Harbour Express,2026-09-09,2026-09-09,0
MF-01579,Kessler Logistics,2026-09-09,2026-09-09,0
MF-01588,Kessler Logistics,2026-09-09,2026-09-09,0
MF-01596,Redwood Couriers,2026-09-09,2026-09-09,0
MF-01597,Northwind Freight,2026-09-09,2026-09-09,0
MF-01599,Kessler Logistics,2026-09-09,2026-09-09,0
MF-01600,Kessler Logistics,2026-09-09,2026-09-09,0
MF-01601,Kessler Logistics,2026-09-09,2026-09-09,0
MF-01603,Harbour Express,2026-09-10,2026-09-09,0
MF-01605,Kessler Logistics,2026-09-09,2026-09-09,0
MF-01608,Harbour Express,2026-09-10,2026-09-09,0
MF-01609,Kessler Logistics,2026-09-09,2026-09-09,0
MF-01613,Kessler Logistics,2026-09-09,2026-09-09,0
MF-01614,Kessler Logistics,2026-09-10,2026-09-09,0
MF-01617,Kessler Logistics,2026-09-09,2026-09-09,0
MF-01620,Kessler Logistics,2026-09-10,2026-09-09,0
MF-01623,Kessler Logistics,2026-09-09,2026-09-09,0
MF-01630,Kessler Logistics,2026-09-09,2026-09-09,0
MF-01657,Redwood Couriers,2026-09-10,2026-09-09,0
MF-01621,Kessler Logistics,2026-09-10,2026-09-10,0
MF-01626,Harbour Express,2026-09-10,2026-09-10,0
MF-01628,Kessler Logistics,2026-09-10,2026-09-10,0
MF-01629,Harbour Express,2026-09-10,2026-09-10,0
MF-01632,Kessler Logistics,2026-09-11,2026-09-10,0
MF-01633,Redwood Couriers,2026-09-11,2026-09-10,0
MF-01637,Harbour Express,2026-09-10,2026-09-10,0
MF-01639,Northwind Freight,2026-09-10,2026-09-10,0
MF-01642,Harbour Express,2026-09-10,2026-09-10,0
MF-01644,Redwood Couriers,2026-09-10,2026-09-10,0
MF-01649,Northwind Freight,2026-09-11,2026-09-10,0
MF-01651,Redwood Couriers,2026-09-11,2026-09-10,0
MF-01653,Northwind Freight,2026-09-10,2026-09-10,0
MF-01656,Redwood Couriers,2026-09-10,2026-09-10,0
MF-01662,Kessler Logistics,2026-09-10,2026-09-10,0
MF-01663,Northwind Freight,2026-09-11,2026-09-10,0
MF-01577,Redwood Couriers,2026-09-08,2026-09-11,3
MF-01606,Kessler Logistics,2026-09-09,2026-09-11,2
MF-01625,Redwood Couriers,2026-09-11,2026-09-11,0
MF-01631,Kessler Logistics,2026-09-10,2026-09-11,1
MF-01636,Harbour Express,2026-09-11,2026-09-11,0
MF-01638,Kessler Logistics,2026-09-11,2026-09-11,0
MF-01647,Kessler Logistics,2026-09-11,2026-09-11,0
MF-01659,Harbour Express,2026-09-11,2026-09-11,0
MF-01660,Harbour Express,2026-09-11,2026-09-11,0
MF-01661,Redwood Couriers,2026-09-11,2026-09-11,0
MF-01665,Northwind Freight,2026-09-11,2026-09-11,0
MF-01666,Kessler Logistics,2026-09-12,2026-09-11,0
MF-01667,Harbour Express,2026-09-11,2026-09-11,0
MF-01677,Northwind Freight,2026-09-11,2026-09-11,0
MF-01678,Northwind Freight,2026-09-11,2026-09-11,0
MF-01704,Harbour Express,2026-09-12,2026-09-11,0
MF-01711,Harbour Express,2026-09-12,2026-09-11,0
MF-01624,Kessler Logistics,2026-09-12,2026-09-12,0
MF-01627,Redwood Couriers,2026-09-12,2026-09-12,0
MF-01640,Harbour Express,2026-09-12,2026-09-12,0
